,Calendar_year,Carbon_year,Carbon_error
0,0.0,199.0,10.0
1,1.0,197.0,10.0
2,2.0,195.0,9.0
3,3.0,193.0,10.0
4,4.0,190.0,10.0
5,5.0,188.0,10.0
6,6.0,185.0,10.0
7,7.0,181.0,10.0
8,8.0,178.0,10.0
9,9.0,174.0,10.0
10,10.0,170.0,10.0
11,11.0,166.0,10.0
12,12.0,163.0,10.0
13,13.0,161.0,10.0
14,14.0,160.0,10.0
15,15.0,160.0,10.0
16,16.0,161.0,10.0
17,17.0,162.0,10.0
18,18.0,163.0,10.0
19,19.0,164.0,10.0
20,20.0,163.0,10.0
21,21.0,162.0,10.0
22,22.0,160.0,10.0
23,23.0,156.0,10.0
24,24.0,153.0,10.0
25,25.0,149.0,10.0
26,26.0,146.0,10.0
27,27.0,143.0,10.0
28,28.0,141.0,10.0
29,29.0,140.0,10.0
30,30.0,137.0,10.0
31,31.0,135.0,10.0
32,32.0,132.0,9.0
33,33.0,129.0,9.0
34,34.0,126.0,9.0
35,35.0,123.0,9.0
36,36.0,121.0,10.0
37,37.0,120.0,9.0
38,38.0,119.0,9.0
39,39.0,119.0,9.0
40,40.0,118.0,9.0
41,41.0,116.0,10.0
42,42.0,113.0,9.0
43,43.0,110.0,10.0
44,44.0,106.0,10.0
45,45.0,102.0,10.0
46,46.0,99.0,10.0
47,47.0,96.0,10.0
48,48.0,95.0,10.0
49,49.0,95.0,10.0
50,50.0,96.0,10.0
51,51.0,97.0,10.0
52,52.0,98.0,10.0
53,53.0,99.0,10.0
54,54.0,98.0,10.0
55,55.0,99.0,10.0
56,56.0,99.0,10.0
57,57.0,101.0,10.0
58,58.0,103.0,10.0
59,59.0,107.0,10.0
60,60.0,110.0,10.0
61,61.0,113.0,9.0
62,62.0,115.0,9.0
63,63.0,116.0,10.0
64,64.0,117.0,10.0
65,65.0,116.0,10.0
66,66.0,115.0,9.0
67,67.0,114.0,10.0
68,68.0,114.0,10.0
69,69.0,116.0,10.0
70,70.0,118.0,9.0
71,71.0,121.0,10.0
72,72.0,125.0,9.0
73,73.0,128.0,9.0
74,74.0,130.0,9.0
75,75.0,130.0,9.0
76,76.0,130.0,9.0
77,77.0,129.0,9.0
78,78.0,127.0,9.0
79,79.0,125.0,9.0
80,80.0,124.0,9.0
81,81.0,123.0,9.0
82,82.0,124.0,9.0
83,83.0,125.0,9.0
84,84.0,127.0,9.0
85,85.0,128.0,9.0
86,86.0,129.0,9.0
87,87.0,128.0,9.0
88,88.0,127.0,9.0
89,89.0,126.0,9.0
90,90.0,125.0,9.0
91,91.0,124.0,9.0
92,92.0,125.0,9.0
93,93.0,125.0,9.0
94,94.0,126.0,9.0
95,95.0,127.0,9.0
96,96.0,127.0,9.0
97,97.0,127.0,9.0
98,98.0,126.0,9.0
99,99.0,125.0,9.0
100,100.0,124.0,9.0
101,101.0,124.0,9.0
102,102.0,123.0,9.0
103,103.0,124.0,9.0
104,104.0,124.0,9.0
105,105.0,125.0,9.0
106,106.0,126.0,9.0
107,107.0,127.0,9.0
108,108.0,128.0,9.0
