       Calendar_year   Carbon_year  Carbon_error
0                0.0    199.000000      8.000000
1                1.0    196.882964      8.017311
2                2.0    194.777286      8.023081
3                3.0    192.630125      8.020196
4                4.0    190.388643      8.011540
5                5.0    188.000000      8.000000
6                6.0    185.411357      7.988460
7                7.0    182.569875      7.979804
8                8.0    179.422714      7.976919
9                9.0    175.917036      7.982689
10              10.0    172.000000      8.000000
11              11.0    167.695607      8.028851
12              12.0    163.335215      8.057702
13              13.0    159.327018      8.072127
14              14.0    156.079215      8.057702
15              15.0    154.000000      8.000000
16              16.0    153.310214      7.888137
17              17.0    153.481267      7.725389
18              18.0    153.797213      7.518572
19              19.0    153.542106      7.274503
20              20.0    152.000000      7.000000
21              21.0    148.711538      6.706602
22              22.0    144.243719      6.424744
23              23.0    139.420131      6.189585
24              24.0    135.064362      6.036284
25              25.0    132.000000      6.000000
26              26.0    130.763634      6.101456
27              27.0    130.743857      6.303635
28              28.0    131.042263      6.555087
29              29.0    130.760446      6.804359
30              30.0    129.000000      7.000000
31              31.0    125.161926      7.103575
32              32.0    119.844854      7.128716
33              33.0    113.946818      7.102068
34              34.0    108.365855      7.050281
35              35.0    104.000000      7.000000
36              36.0    101.484661      6.972243
37              37.0    100.404728      6.965503
38              38.0    100.082466      6.972641
39              39.0     99.840135      6.986519
40              40.0     99.000000      7.000000
41              41.0     97.051431      7.007452
42              42.0     94.152233      7.009274
43              43.0     90.627319      7.007369
44              44.0     86.801604      7.003643
45              45.0     83.000000      7.000000
46              46.0     79.509616      6.997948
47              47.0     76.466341      6.997402
48              48.0     73.968258      6.997883
49              49.0     72.113450      6.998909
50              50.0     71.000000      7.000000
51              51.0     70.710104      7.000757
52              52.0     71.262402      7.001117
53              53.0     72.659649      7.001099
54              54.0     74.904597      7.000720
55              55.0     78.000000      7.000000
56              56.0     81.881969      6.999023
57              57.0     86.220050      6.998128
58              58.0     90.617146      6.997723
59              59.0     94.676161      6.998212
60              60.0     98.000000      7.000000
61              61.0    100.290021      7.003152
62              62.0    101.641400      7.006369
63              63.0    102.247768      7.008010
64              64.0    102.302758      7.006434
65              65.0    102.000000      7.000000
66              66.0    101.549949      6.988368
67              67.0    101.230352      6.976394
68              68.0    101.335781      6.970237
