Index,Calendar_year,Carbon_year,Carbon_error
0,0,199.0,1.4
1,1,197.0,1.4
2,2,195.0,1.4
3,3,193.0,1.4
4,4,190.0,1.3
5,5,188.0,1.3
6,6,185.0,1.3
7,7,181.0,1.3
8,8,178.0,1.3
9,9,174.0,1.3
10,10,170.0,1.3
11,11,166.0,1.3
12,12,163.0,1.3
13,13,161.0,1.3
14,14,160.0,1.3
15,15,160.0,1.3
16,16,161.0,1.2
17,17,162.0,1.2
18,18,163.0,1.2
19,19,164.0,1.2
20,20,163.0,1.2
21,21,162.0,1.2
22,22,160.0,1.2
23,23,156.0,1.2
24,24,153.0,1.2
25,25,149.0,1.2
26,26,146.0,1.2
27,27,143.0,1.2
28,28,141.0,1.2
29,29,140.0,1.2
30,30,137.0,1.2
31,31,135.0,1.2
32,32,132.0,1.2
33,33,129.0,1.2
34,34,126.0,1.2
35,35,123.0,1.2
36,36,121.0,1.2
37,37,120.0,1.2
38,38,119.0,1.2
39,39,119.0,1.2
40,40,118.0,1.2
41,41,116.0,1.2
42,42,113.0,1.2
43,43,110.0,1.2
44,44,106.0,1.2
45,45,102.0,1.2
46,46,99.0,1.2
47,47,96.0,1.2
48,48,95.0,1.2
49,49,95.0,1.2
50,50,96.0,1.2
51,51,97.0,1.2
52,52,98.0,1.2
53,53,99.0,1.2
54,54,98.0,1.2
55,55,99.0,1.2
56,56,99.0,1.2
57,57,101.0,1.2
58,58,103.0,1.2
59,59,107.0,1.2
60,60,110.0,1.2
61,61,113.0,1.2
62,62,115.0,1.2
63,63,116.0,1.2
64,64,117.0,1.2
65,65,116.0,1.2
66,66,115.0,1.2
67,67,114.0,1.2
68,68,114.0,1.2
69,69,116.0,1.2
70,70,118.0,1.2
71,71,121.0,1.2
72,72,125.0,1.2
73,73,128.0,1.2
74,74,130.0,1.2
75,75,130.0,1.2
76,76,130.0,1.2
77,77,129.0,1.2
78,78,127.0,1.2
79,79,125.0,1.2
80,80,124.0,1.2
81,81,123.0,1.2
82,82,124.0,1.2
83,83,125.0,1.2
84,84,127.0,1.2
85,85,128.0,1.2
86,86,129.0,1.2
87,87,128.0,1.2
88,88,127.0,1.2
89,89,126.0,1.2
90,90,125.0,1.2
91,91,124.0,1.2
92,92,125.0,1.2
93,93,125.0,1.2
94,94,126.0,1.2
95,95,127.0,1.2
96,96,127.0,1.2
97,97,127.0,1.2
98,98,126.0,1.2
99,99,125.0,1.2
100,100,124.0,1.2
101,101,124.0,1.2
102,102,123.0,1.2
103,103,124.0,1.2
104,104,124.0,1.2
105,105,125.0,1.2
106,106,126.0,1.2
107,107,127.0,1.2
108,108,128.0,1.2
109,109,129.0,1.2
110,110,129.0,1.2
111,111,128.0,1.2
112,112,127.0,1.2
113,113,124.0,1.2
114,114,121.0,1.2
115,115,117.0,1.2
116,116,112.0,1.2
117,117,108.0,1.2
118,118,104.0,1.2
119,119,100.0,1.2
120,120,98.0,1.2
121,121,96.0,1.2
122,122,96.0,1.2
123,123,96.0,1.2
124,124,98.0,1.2
125,125,100.0,1.2
126,126,102.0,1.2
127,127,104.0,1.2
128,128,104.0,1.2
129,129,105.0,1.2
130,130,104.0,1.2
131,131,104.0,1.2
132,132,105.0,1.2
133,133,106.0,1.2
134,134,107.0,1.2
135,135,110.0,1.2
136,136,113.0,1.2
137,137,117.0,1.2
138,138,121.0,1.2
139,139,127.0,1.2
140,140,133.0,1.2
141,141,139.0,1.2
142,142,145.0,1.2
143,143,150.0,1.2
144,144,153.0,1.2
145,145,156.0,1.2
146,146,157.0,1.2
147,147,159.0,1.2
148,148,161.0,1.2
149,149,163.0,1.2
150,150,167.0,1.2
151,151,173.0,1.2
152,152,180.0,1.2
153,153,189.0,1.2
154,154,198.0,1.2
155,155,207.0,1.2
156,156,215.0,1.2
157,157,221.0,1.2
158,158,225.0,1.2
159,159,227.0,1.2
160,160,228.0,1.2
161,161,227.0,1.2
162,162,224.0,1.2
163,163,221.0,1.2
164,164,218.0,1.2
165,165,214.0,1.2
166,166,209.0,1.2
167,167,205.0,1.2
168,168,200.0,1.2
169,169,195.0,1.2
170,170,189.0,1.2
171,171,184.0,1.2
172,172,179.0,1.2
173,173,176.0,1.2
174,174,174.0,1.2
175,175,174.0,1.2
176,176,175.0,1.2
177,177,178.0,1.2
178,178,181.0,1.2
179,179,183.0,1.2
180,180,185.0,1.2
181,181,185.0,1.2
182,182,184.0,1.2
183,183,182.0,1.2
184,184,179.0,1.2
185,185,177.0,1.2
186,186,174.0,1.2
187,187,171.0,1.2
188,188,168.0,1.2
189,189,165.0,1.2
190,190,161.0,1.2
191,191,159.0,1.2
192,192,158.0,1.2
193,193,159.0,1.2
194,194,161.0,1.2
195,195,163.0,1.2
196,196,166.0,1.2
197,197,169.0,1.2
198,198,172.0,1.2
199,199,175.0,1.2
200,200,177.0,1.2
201,201,178.0,1.2
202,202,179.0,1.2
203,203,180.0,1.2
204,204,180.0,1.2
205,205,180.0,1.2
206,206,180.0,1.2
207,207,178.0,1.2
208,208,176.0,1.2
209,209,173.0,1.2
210,210,170.0,1.2
211,211,167.0,1.2
212,212,165.0,1.2
213,213,163.0,1.2
214,214,162.0,1.2
215,215,161.0,1.2
216,216,160.0,1.2
217,217,159.0,1.2
218,218,157.0,1.2
219,219,154.0,1.2
220,220,149.0,1.2
221,221,145.0,1.2
222,222,140.0,1.2
223,223,135.0,1.2
224,224,131.0,1.2
225,225,127.0,1.2
226,226,123.0,1.2
227,227,119.0,1.2
228,228,115.0,1.2
229,229,111.0,1.2
230,230,107.0,1.2
231,231,103.0,1.2
232,232,100.0,1.2
233,233,97.0,1.2
234,234,96.0,1.2
235,235,96.0,1.2
236,236,97.0,1.2
237,237,98.0,1.2
238,238,99.0,1.2
239,239,101.0,1.2
240,240,103.0,1.2
241,241,105.0,1.2
242,242,107.0,1.2
243,243,108.0,1.2
244,244,108.0,1.2
245,245,108.0,1.2
246,246,108.0,1.2
247,247,107.0,1.2
248,248,107.0,1.2
249,249,108.0,1.2
250,250,110.0,1.2
251,251,112.0,1.2
252,252,115.0,1.2
253,253,118.0,1.2
254,254,122.0,1.2
255,255,125.0,1.2
256,256,129.0,1.2
257,257,132.0,1.2
258,258,135.0,1.2
259,259,138.0,1.2
260,260,141.0,1.2
261,261,144.0,1.2
262,262,147.0,1.2
263,263,150.0,1.2
264,264,153.0,1.2
265,265,156.0,1.2
266,266,159.0,1.2
267,267,163.0,1.2
268,268,166.0,1.2
269,269,168.0,1.2
270,270,171.0,1.2
271,271,173.0,1.2
272,272,175.0,1.2
273,273,176.0,1.2
274,274,176.0,1.2
275,275,176.0,1.2
276,276,176.0,1.2
277,277,177.0,1.2
278,278,179.0,1.2
279,279,183.0,1.2
280,280,187.0,1.2
281,281,192.0,1.2
282,282,196.0,1.2
283,283,201.0,1.2
284,284,206.0,1.2
285,285,210.0,1.2
286,286,214.0,1.2
287,287,217.0,1.2
288,288,221.0,1.2
289,289,225.0,1.2
290,290,229.0,1.2
291,291,233.0,1.2
292,292,236.0,1.2
293,293,239.0,1.2
294,294,242.0,1.2
295,295,244.0,1.2
296,296,245.0,1.2
297,297,247.0,1.2
298,298,248.0,1.2
299,299,250.0,1.2
300,300,252.0,1.2
301,301,254.0,1.2
302,302,257.0,1.2
303,303,261.0,1.2
304,304,264.0,1.2
305,305,267.0,1.2
306,306,270.0,1.2
307,307,274.0,1.2
308,308,278.0,1.2
309,309,282.0,1.2
310,310,287.0,1.2
311,311,291.0,1.2
312,312,295.0,1.2
313,313,298.0,1.2
314,314,302.0,1.2
315,315,306.0,1.2
316,316,311.0,1.2
317,317,315.0,1.2
318,318,320.0,1.2
319,319,324.0,1.2
320,320,326.0,1.2
321,321,328.0,1.2
322,322,330.0,1.2
323,323,330.0,1.2
324,324,329.0,1.2
325,325,329.0,1.2
326,326,330.0,1.2
327,327,331.0,1.2
328,328,333.0,1.2
329,329,337.0,1.2
330,330,341.0,1.2
331,331,345.0,1.2
332,332,348.0,1.2
333,333,352.0,1.2
334,334,355.0,1.2
335,335,356.0,1.2
336,336,357.0,1.2
337,337,357.0,1.2
338,338,357.0,1.2
339,339,357.0,1.2
340,340,358.0,1.2
341,341,360.0,1.2
342,342,362.0,1.2
343,343,364.0,1.2
344,344,366.0,1.2
345,345,366.0,1.2
346,346,365.0,1.2
347,347,363.0,1.2
348,348,360.0,1.2
349,349,357.0,1.2
350,350,355.0,1.2
351,351,354.0,1.2
352,352,353.0,1.2
353,353,352.0,1.2
354,354,351.0,1.2
355,355,351.0,1.2
356,356,349.0,1.2
357,357,347.0,1.2
358,358,345.0,1.2
359,359,343.0,1.2
360,360,340.0,1.2
361,361,338.0,1.2
362,362,336.0,1.2
363,363,335.0,1.2
364,364,334.0,1.2
365,365,334.0,1.2
366,366,335.0,1.2
367,367,335.0,1.2
368,368,335.0,1.2
369,369,335.0,1.2
370,370,335.0,1.2
371,371,334.0,1.2
372,372,334.0,1.2
373,373,333.0,1.2
374,374,332.0,1.2
375,375,330.0,1.2
376,376,329.0,1.2
377,377,327.0,1.2
378,378,326.0,1.2
379,379,324.0,1.2
380,380,323.0,1.2
381,381,321.0,1.2
382,382,321.0,1.2
383,383,321.0,1.2
384,384,322.0,1.2
385,385,323.0,1.2
386,386,325.0,1.2
387,387,326.0,1.2
388,388,327.0,1.2
389,389,326.0,1.2
390,390,325.0,1.2
391,391,323.0,1.2
392,392,321.0,1.2
393,393,320.0,1.2
394,394,318.0,1.2
395,395,317.0,1.2
396,396,316.0,1.2
397,397,315.0,1.2
398,398,313.0,1.2
399,399,311.0,1.2
400,400,309.0,1.2
