Index,Calendar_year,Carbon_year,Carbon_error
0,0,174.0,1.3
1,1,171.0,1.2
2,2,168.0,1.0
3,3,164.0,1.0
4,4,161.0,0.9
5,5,159.0,0.9
6,6,157.0,1.0
7,7,155.0,1.0
8,8,154.0,1.0
9,9,154.0,1.1
10,10,154.0,1.1
11,11,155.0,1.1
12,12,156.0,1.1
13,13,158.0,1.0
14,14,159.0,1.0
15,15,160.0,1.0
16,16,161.0,1.1
17,17,161.0,1.1
18,18,161.0,1.1
19,19,160.0,1.1
20,20,159.0,1.1
21,21,158.0,1.1
22,22,156.0,1.1
23,23,154.0,1.0
24,24,152.0,1.0
25,25,149.0,1.0
26,26,145.0,1.0
27,27,141.0,1.1
28,28,136.0,1.1
29,29,131.0,1.1
30,30,126.0,1.1
31,31,122.0,1.1
32,32,120.0,1.1
33,33,119.0,1.0
34,34,119.0,1.0
35,35,121.0,1.0
36,36,122.0,1.0
37,37,124.0,1.0
38,38,126.0,1.0
39,39,127.0,1.0
40,40,127.0,1.0
41,41,127.0,1.0
42,42,127.0,1.0
43,43,126.0,1.0
44,44,125.0,1.0
45,45,124.0,0.9
46,46,123.0,0.9
47,47,121.0,0.9
48,48,120.0,0.9
49,49,119.0,0.9
50,50,119.0,0.9
51,51,118.0,0.9
52,52,118.0,1.0
53,53,119.0,1.0
54,54,121.0,1.0
55,55,124.0,1.0
56,56,128.0,1.0
57,57,133.0,1.0
58,58,137.0,1.0
59,59,141.0,1.0
60,60,144.0,0.9
61,61,146.0,0.9
62,62,146.0,0.9
63,63,147.0,0.9
64,64,146.0,1.0
65,65,146.0,1.0
66,66,146.0,1.0
67,67,146.0,1.0
68,68,146.0,1.0
69,69,146.0,1.0
70,70,148.0,0.9
71,71,150.0,0.8
72,72,152.0,0.8
73,73,156.0,0.8
74,74,159.0,0.9
75,75,162.0,0.9
76,76,164.0,0.9
77,77,165.0,0.9
78,78,165.0,0.9
79,79,163.0,1.0
80,80,160.0,0.9
81,81,157.0,1.0
82,82,154.0,1.0
83,83,151.0,1.0
84,84,148.0,1.0
85,85,147.0,1.0
86,86,146.0,1.0
87,87,146.0,1.0
88,88,147.0,1.0
89,89,147.0,1.0
90,90,148.0,1.1
91,91,149.0,1.1
92,92,149.0,1.0
93,93,149.0,1.0
94,94,148.0,1.0
95,95,148.0,0.9
96,96,148.0,0.9
97,97,148.0,0.9
98,98,149.0,1.0
99,99,150.0,1.0
100,100,151.0,0.9
101,101,152.0,1.0
102,102,153.0,1.0
103,103,155.0,1.0
104,104,156.0,1.0
105,105,158.0,1.0
106,106,160.0,1.0
107,107,162.0,1.0
108,108,164.0,1.1
109,109,164.0,1.1
110,110,164.0,1.1
111,111,162.0,1.1
112,112,159.0,1.1
113,113,155.0,1.1
114,114,150.0,1.0
115,115,146.0,1.0
116,116,142.0,1.1
117,117,139.0,1.1
118,118,137.0,1.2
119,119,135.0,1.2
120,120,133.0,1.2
121,121,131.0,1.1
122,122,131.0,1.1
123,123,130.0,1.0
124,124,131.0,1.0
125,125,131.0,1.0
126,126,132.0,1.0
127,127,134.0,1.0
128,128,134.0,1.0
129,129,135.0,1.0
130,130,135.0,1.0
131,131,135.0,1.0
132,132,135.0,0.9
133,133,136.0,0.9
134,134,138.0,0.9
135,135,140.0,0.9
136,136,142.0,0.9
137,137,145.0,0.9
138,138,149.0,0.9
139,139,155.0,0.9
140,140,161.0,0.9
141,141,168.0,0.9
142,142,176.0,0.9
143,143,182.0,0.9
144,144,188.0,0.9
145,145,192.0,0.9
146,146,195.0,0.9
147,147,198.0,0.9
148,148,201.0,0.9
149,149,204.0,0.9
150,150,207.0,0.9
151,151,212.0,0.9
152,152,216.0,0.9
153,153,222.0,0.9
154,154,227.0,0.8
155,155,233.0,0.9
156,156,238.0,0.9
157,157,242.0,0.9
158,158,246.0,0.9
159,159,249.0,0.9
160,160,250.0,0.9
161,161,250.0,0.9
162,162,248.0,0.9
163,163,247.0,0.9
164,164,244.0,0.9
165,165,241.0,0.9
166,166,237.0,0.9
167,167,233.0,0.9
168,168,229.0,0.9
169,169,225.0,0.9
170,170,220.0,0.9
171,171,217.0,0.9
172,172,214.0,0.9
173,173,213.0,0.9
174,174,213.0,0.9
175,175,215.0,0.9
176,176,218.0,0.9
177,177,222.0,0.9
178,178,226.0,0.9
179,179,229.0,1.0
180,180,231.0,1.0
181,181,232.0,1.0
182,182,232.0,1.0
183,183,230.0,1.0
184,184,228.0,1.0
185,185,224.0,1.0
186,186,220.0,1.0
187,187,217.0,1.0
188,188,214.0,1.0
189,189,212.0,1.0
190,190,212.0,1.0
191,191,212.0,1.0
192,192,213.0,1.0
193,193,215.0,1.0
194,194,217.0,1.0
195,195,220.0,1.0
196,196,223.0,1.0
197,197,225.0,1.0
198,198,227.0,1.0
199,199,229.0,1.1
200,200,229.0,1.1
201,201,229.0,1.0
202,202,229.0,1.0
203,203,228.0,1.0
204,204,228.0,1.0
205,205,227.0,1.0
206,206,225.0,1.0
207,207,224.0,1.0
208,208,222.0,1.0
209,209,221.0,1.0
210,210,219.0,1.1
211,211,217.0,1.0
212,212,215.0,1.0
213,213,213.0,1.0
214,214,210.0,1.0
215,215,208.0,1.0
